Title,AlternativeTitle,Genre,MovieDuration,ReleaseYear,MoviemeterRank,MoviemeterRating
The Shawshank Redemption,,Drama,142 minutes,1994,1,"4,42"
The Godfather,Mario Puzo's The Godfather,Crime,175 minutes,1972,2,"4,37"
The Godfather: Part II,Mario Puzo's The Godfather: Part II,Crime,202 minutes,1974,3,"4,29"
The Green Mile,Stephen King's The Green Mile,"Fantasy, Drama",189 minutes,1999,4,"4,28"
Pulp Fiction,,"Crime, Drama",154 minutes,1994,5,"4,26"
C'era una Volta il West,Once upon a Time in the West,Western,165 minutes,1968,6,"4,25"
The Lord of the Rings: The Return of the King,,"Adventure, Fantasy",201 minutes,2003,7,"4,24"
Schindler's List,,"War, Drama",195 minutes,1993,8,"4,24"
"Il Buono, il Brutto, il Cattivo","The Good, the Bad and the Ugly",Western,161 minutes,1966,9,"4,24"
Se7en,Seven,"Thriller, Crime",127 minutes,1995,10,"4,22"
The Lord of the Rings: The Fellowship of the Ring,,"Fantasy, Adventure",178 minutes,2001,11,"4,21"
One Flew over the Cuckoo's Nest,,Drama,133 minutes,1975,12,"4,20"
Gladiator,,"History, Drama",155 minutes,2000,13,"4,19"
Scarface,,"Crime, Drama",170 minutes,1983,14,"4,19"
Goodfellas,GoodFellas,"Crime, Drama",146 minutes,1990,15,"4,19"
American History X,,"Crime, Drama",119 minutes,1998,16,"4,18"
The Pianist,,"Drama, War",150 minutes,2002,17,"4,18"
Intouchables,The Intouchables,"Comedy, Drama",112 minutes,2011,18,"4,18"
The Lord of the Rings: The Two Towers,,"Adventure, Fantasy",179 minutes,2002,19,"4,16"
Forrest Gump,,"Comedy, Drama",142 minutes,1994,20,"4,16"
Cidade de Deus,City of God,"Drama, Crime",135 minutes,2002,21,"4,15"
The Dark Knight,,"Action, Crime",152 minutes,2008,22,"4,13"
The Silence of the Lambs,,"Thriller, Crime",118 minutes,1991,23,"4,13"
The Usual Suspects,,"Crime, Mystery",106 minutes,1995,24,"4,12"
Saving Private Ryan,,"War, Drama",169 minutes,1998,25,"4,11"
Heat,,"Crime, Thriller",170 minutes,1995,26,"4,11"
Once upon a Time in America,C'era una Volta in America,"Crime, Drama",229 minutes,1984,27,"4,11"
La Meglio Gioventù,The Best of Youth,Drama,366 minutes,2003,28,"4,11"
12 Angry Men,Twelve Angry Men,Drama,96 minutes,1957,29,"4,10"
Fight Club,,"Comedy, Thriller",139 minutes,1999,30,"4,09"
American Beauty,,"Drama, Comedy",122 minutes,1999,31,"4,09"
Into the Wild,,"Biography, Drama",148 minutes,2007,32,"4,06"
Reservoir Dogs,,"Crime, Drama",99 minutes,1992,33,"4,04"
Léon,The Professional,"Crime, Drama",110 minutes,1994,34,"4,04"
Requiem for a Dream,,Drama,101 minutes,2000,35,"4,03"
Jagten,The Hunt,Drama,115 minutes,2012,36,"4,03"
Snatch,,"Crime, Comedy",104 minutes,2000,37,"4,02"
Apocalypse Now,Apocalypse Now Redux,"War, Drama",153 minutes,1979,38,"4,02"
Django Unchained,,"Western, Action",165 minutes,2012,39,"4,02"
Das Leben der Anderen,The Lives of Others,"Drama, Thriller",137 minutes,2006,40,"4,02"
The Matrix,,"Scifi, Action",136 minutes,1999,41,"4,01"
Le Fabuleux Destin d'Amélie Poulain,Amélie,"Comedy, Romance",122 minutes,2001,42,"4,01"
Inception,,"Thriller, Scifi",148 minutes,2010,43,"4,00"
Braveheart,,"War, History",177 minutes,1995,44,"4,00"
The Lion King,De Leeuwenkoning,"Animation, Family",89 minutes,1994,45,"3,98"
"Lock, Stock and Two Smoking Barrels","Lock, Stock & Two Smoking Barrels","Crime, Comedy",107 minutes,1998,46,"3,98"
Seppuku,Harakiri,Drama,135 minutes,1962,47,"3,98"
The Shining,,"Horror, Mystery",115 minutes,1980,48,"3,97"
La Vita È Bella,Life Is Beautiful,"Comedy, War",122 minutes,1997,49,"3,97"
Das Boot,De Andere Kant van de Oorlog,"War, Drama",149 minutes,1981,50,"3,97"
Shichinin no Samurai,Seven Samurai,"Action, Drama",207 minutes,1954,51,"3,97"
Le Trou,The Hole,"Thriller, Drama",132 minutes,1960,52,"3,97"
Inglourious Basterds,,"War, Comedy",153 minutes,2009,53,"3,96"
Blood Diamond,,"Drama, Thriller",143 minutes,2006,54,"3,96"
The Departed,,"Crime, Thriller",151 minutes,2006,55,"3,96"
Donnie Darko,,"Mystery, Drama",113 minutes,2001,56,"3,96"
Star Wars: Episode V - The Empire Strikes Back,,"Fantasy, Scifi",124 minutes,1980,57,"3,96"
Tengoku to Jigoku,High and Low,"Thriller, Crime",143 minutes,1963,58,"3,96"
Avatar,,"Fantasy, Adventure",162 minutes,2009,59,"3,95"
Der Untergang,Downfall,"History, War",155 minutes,2004,60,"3,95"
Full Metal Jacket,,"War, Drama",116 minutes,1987,61,"3,95"
Sen to Chihiro no Kamikakushi,Spirited Away,"Animation, Fantasy",125 minutes,2001,62,"3,95"
Slumdog Millionaire,,"Drama, Crime",120 minutes,2008,63,"3,94"
Prisoners,,"Crime, Thriller",153 minutes,2013,64,"3,94"
Joker,,"Crime, Drama",122 minutes,2019,65,"3,94"
Amores Perros,Love's a Bitch,"Crime, Drama",154 minutes,2000,66,"3,94"
North by Northwest,De Man Die Verdwijnen Moest,"Thriller, Mystery",136 minutes,1959,67,"3,94"
Donnie Brasco,,"Crime, Drama",127 minutes,1997,68,"3,93"
Terminator 2: Judgment Day,T2 - Terminator 2: Judgment Day,"Action, Scifi",137 minutes,1991,69,"3,93"
Rear Window,De Stille Getuige,"Thriller, Mystery",112 minutes,1954,70,"3,93"
Idi i Smotri,Come and See,"Drama, War",145 minutes,1985,71,"3,93"
Nuovo Cinema Paradiso,Cinema Paradiso,Drama,155 minutes,1988,72,"3,93"
Trainspotting,,"Drama, Comedy",94 minutes,1996,73,"3,92"
A Clockwork Orange,,Crime,136 minutes,1971,74,"3,92"
Alien,,"Horror, Scifi",117 minutes,1979,75,"3,92"
1917,,"Drama, War",119 minutes,2019,76,"3,92"
In the Name of the Father,,"Drama, Biography",133 minutes,1993,77,"3,92"
Green Book,,"Biography, Comedy",130 minutes,2018,78,"3,92"
Bom Yeoreum Gaeul Gyeoul Geurigo Bom,"Spring, Summer, Fall, Winter... and Spring",Drama,103 minutes,2003,79,"3,92"
It's a Wonderful Life,"Mens, Durf te Leven","Drama, Romance",130 minutes,1946,80,"3,92"
Double Indemnity,Bloedgeld,"Filmnoir, Crime",107 minutes,1944,81,"3,92"
The Father,,Drama,97 minutes,2020,82,"3,92"
El Laberinto del Fauno,Pan's Labyrinth,"Fantasy, Drama",118 minutes,2006,83,"3,91"
Casino,,"Crime, Drama",178 minutes,1995,84,"3,91"
Platoon,,"War, Drama",120 minutes,1986,85,"3,91"
The Deer Hunter,,"War, Drama",184 minutes,1978,86,"3,91"
Psycho,Alfred Hitchcock's Psycho,"Horror, Thriller",109 minutes,1960,87,"3,91"
Casablanca,,"Romance, Drama",102 minutes,1942,88,"3,91"
Hotaru no Haka,Grave of the Fireflies,"Animation, War",89 minutes,1988,89,"3,91"
Memento,,"Mystery, Thriller",113 minutes,2000,90,"3,90"
The Prestige,,"Mystery, Drama",130 minutes,2006,91,"3,90"
Gran Torino,,"Drama, Crime",116 minutes,2008,92,"3,90"
Taxi Driver,,"Drama, Crime",114 minutes,1976,93,"3,90"
Interstellar,,"Scifi, Mystery",169 minutes,2014,94,"3,90"
Walk the Line,,"Music, Biography",136 minutes,2005,95,"3,90"
Carlito's Way,,"Crime, Drama",145 minutes,1993,96,"3,90"
Vertigo,De Vrouw Die Tweemaal Leefde,"Thriller, Mystery",129 minutes,1958,97,"3,90"
Gisaengchung,Parasite,"Drama, Comedy",132 minutes,2019,98,"3,90"
Per Qualche Dollaro in Più,For a Few Dollars More,Western,132 minutes,1965,99,"3,90"
Sunset Blvd.,Sunset Boulevard,"Drama, Filmnoir",110 minutes,1950,100,"3,90"
Pirates of the Caribbean: The Curse of the Black Pearl,,"Action, Adventure",143 minutes,2003,101,"3,89"
Hotel Rwanda,,"Drama, War",121 minutes,2004,102,"3,89"
Mary and Max,,"Animation, Drama",93 minutes,2009,103,"3,89"
Du Rififi chez les Hommes,Rififi,"Crime, Filmnoir",120 minutes,1955,104,"3,89"
The Butterfly Effect,,"Scifi, Thriller",113 minutes,2004,105,"3,88"
L.A. Confidential,,"Crime, Thriller",138 minutes,1997,106,"3,88"
Warrior,,"Drama, Sport",140 minutes,2011,107,"3,88"
Vozvrashchenie,The Return,"Drama, Mystery",105 minutes,2003,108,"3,88"
Judgment at Nuremberg,Judgement at Nuremberg,"Drama, War",186 minutes,1961,109,"3,88"
Der Kommer en Dag,The Day Will Come,Drama,119 minutes,2016,110,"3,88"
Stop Making Sense,,Music,88 minutes,1984,111,"3,88"
